t,pitch_angle,yaw_angle,err_x_px,err_y_px,u_yaw_dps,u_pitch_dps,score,src
0.0,4.6,0.0,-116.89999999999998,-51.625,-21.041999999999994,9.2925,0.5,blob
0.35970354080200195,8.7,-4.8,-143.70999999999998,-150.10625000000002,-26.245637301965708,28.39344681843358,0.5,blob
0.5201475620269775,14.6,-9.2,-150.2865,-207.6440625,-27.45043142806248,39.86220397562054,0.5,blob
0.6907792091369629,23.1,-13.8,-147.38622499999997,-124.818640625,-26.650269935039276,21.289962887087956,0.5,blob
0.8685722351074219,28.7,-18.1,-127.82604624999999,-38.60711640625004,-22.526300570362743,3.9422103310184164,0.5,blob
1.0386719703674316,31.5,-22.0,-101.46193006249996,29.855374335937427,-17.25490291399092,-8.884659001593858,0.5,blob
1.1861989498138428,31.6,-24.7,-69.62525454062495,80.65599331835938,-10.957485730387205,-17.990834821443975,0.5,blob
1.3386871814727783,29.8,-26.7,-39.48141545140629,114.02639565693357,-5.338888473181152,-23.3521393013509,0.5,blob
1.4861221313476562,27.0,-27.7,-11.662920043414147,132.2171571770068,-0.28006007855252246,-25.827584423842648,0.5,blob
1.6431477069854736,23.1,-28.0,10.269101971780856,139.14115216505445,3.44864308913459,-26.27923317434328,0.5,blob
1.7931220531463623,19.3,-27.8,25.924916281657488,135.9417489072854,5.981058918168843,-24.979813259159336,0.5,blob
1.9461133480072021,14.9,-26.9,41.17619558307729,122.8371367897355,8.560395811120657,-21.938464678328415,0.5,blob
2.0873019695281982,10.9,-25.7,48.28952712900025,96.29413891332808,9.511688243123524,-16.308181834710695,0.5,blob
2.257538080215454,7.0,-23.8,48.18819263385012,62.59119029366326,9.074488748045217,-9.76586046882488,0.5,blob
2.459005117416382,4.2,-21.9,41.47232521200249,24.23427369088114,7.492880523836144,-2.661623745848588,0.5,blob
2.654161214828491,3.2,-20.8,30.10701138780155,-12.422722100927274,5.1364066731668805,4.024348827980356,0.5,blob
2.7964465618133545,3.1,-20.0,13.794557402071064,-46.39976936560271,1.7626636976565022,10.439417447183656,0.5,blob
2.9489941596984863,4.2,-19.5,-0.4835376886537688,-65.68485008764173,-0.9210074757261847,13.499128751691224,0.5,blob
3.0989959239959717,6.7,-19.6,-11.339299497624893,-76.47015255696715,-2.8258843060075662,14.962733060602163,0.5,blob
3.290782928466797,10.0,-20.1,-18.745544673456152,-70.88059916202866,-3.9659334560726682,13.213295448484605,0.5,blob
3.489661455154419,12.0,-20.7,-16.909604037746476,-53.59738945531865,-3.2998406844904355,9.442251145891614,0.5,blob
3.6529104709625244,13.7,-21.2,-13.616242624535175,-32.38830314595714,-2.4845661166697415,5.07950175373695,0.5,blob
3.7939162254333496,14.9,-21.7,-9.725557705947836,-11.9523970448721,-1.6359414066592444,1.0533310313974418,0.5,blob
